datetime,open,high,low,close,volume
2024-07-24,1.08451,1.08664,1.08256,1.08427,0
2024-07-25,1.08427,1.08699,1.08282,1.08583,0
2024-07-26,1.08582,1.08681,1.0842,1.08547,0
2024-07-28,1.08553,1.087,1.08508,1.08622,0
2024-07-29,1.08623,1.08637,1.08028,1.08221,0
2024-07-30,1.0822,1.08356,1.07982,1.0822,0
2024-07-31,1.0822,1.08493,1.08019,1.08328,0
2024-08-01,1.08328,1.08354,1.07774,1.0793,0
2024-08-02,1.07931,1.09265,1.07861,1.09098,0
2024-08-04,1.09225,1.09311,1.09028,1.09305,0
2024-08-05,1.09305,1.10088,1.08923,1.0954,0
2024-08-06,1.09541,1.09558,1.09037,1.09157,0
2024-08-07,1.09157,1.09366,1.09053,1.09348,0
2024-08-08,1.09348,1.09451,1.08814,1.09228,0
2024-08-09,1.09228,1.09313,1.0909,1.09167,0
2024-08-11,1.09142,1.0923,1.091,1.0914,0
2024-08-12,1.09138,1.09393,1.09136,1.09369,0
2024-08-13,1.09369,1.09996,1.09137,1.099,0
2024-08-14,1.099,1.10473,1.09863,1.1008,0
2024-08-15,1.10082,1.10154,1.09495,1.0977,0
2024-08-16,1.09771,1.10296,1.0976,1.10211,0
2024-08-18,1.10265,1.10403,1.10227,1.10389,0
2024-08-19,1.1039,1.10875,1.10301,1.10755,0
2024-08-20,1.10756,1.11325,1.10719,1.1121,0
2024-08-21,1.1121,1.1174,1.10992,1.11446,0
2024-08-22,1.11446,1.11646,1.1098,1.11247,0
2024-08-23,1.11248,1.12008,1.11055,1.1191,0
2024-08-25,1.11854,1.12015,1.11815,1.11834,0
2024-08-26,1.11834,1.11892,1.115,1.11667,0
2024-08-27,1.11667,1.11905,1.11501,1.11657,0
2024-08-28,1.11657,1.11679,1.1105,1.11356,0
2024-08-29,1.11357,1.11399,1.10556,1.10737,0
2024-08-30,1.10736,1.1095,1.10438,1.10456,0
2024-09-01,1.10462,1.10556,1.10419,1.10484,0
2024-09-02,1.10485,1.10773,1.10439,1.10579,0
2024-09-03,1.10579,1.1069,1.10263,1.1054,0
2024-09-04,1.10538,1.10951,1.104,1.10769,0
2024-09-05,1.10769,1.11197,1.10746,1.11151,0
2024-09-06,1.11151,1.11556,1.10656,1.10825,0
2024-09-08,1.10781,1.1091,1.10781,1.10799,0
2024-09-09,1.10798,1.10802,1.10283,1.10384,0
2024-09-10,1.10384,1.10496,1.10151,1.10385,0
2024-09-11,1.10386,1.10549,1.10019,1.10136,0
2024-09-12,1.10136,1.10902,1.10055,1.10869,0
2024-09-13,1.1087,1.11017,1.10721,1.10732,0
2024-09-15,1.10757,1.11049,1.10743,1.1104,0
2024-09-16,1.1104,1.11374,1.10956,1.11239,0
2024-09-17,1.1124,1.11461,1.11109,1.11262,0
2024-09-18,1.11262,1.11891,1.10683,1.11185,0
